"","Clearwater","Clearwater.T","Snake","Snake.T","Columbia","Columbia.T","NFClearwater","NFClearwater.T","Potlatch","Potlatch.T","Tucannon","Tucannon.T","Palouse","Palouse.T","Okanogan","Okanogan.T","Methow","Methow.T","Chelan","Chelan.T","Wenatchee","Wenatchee.T","Crab","Crab.T","Yakima","Yakima.T","WallaWalla","WallaWalla.T","JohnDay","JohnDay.T","Deschutes","Deschutes.T"
"89",17200,7,32500,9.9,124995.83,5.4,11312.5,4.7,62.2,33,249,12.89,2060,11.54,5780,9.5,3240,10.86,1290,16.18,4820,11.73,191,14.32,5560,15.21,1200,16.01,3910,15.89,6220,12.1
"90",17300,7.5,31900,10,116020.83,5.46,9604.17,4.58,62.2,33,250,11.02,1650,8.72,6030,9.4,3480,11.66,1290,16.76,4780,12.54,194,15.15,5750,12.69,1050,13.45,3840,13.18,6080,11.7
"91",18200,6.5,33000,9.3,122633.33,5.47,9662.5,4.62,62.2,33,243,8.72,1390,5.87,6740,9.3,3540,7.31,1700,13.35,4670,8.08,189,10.44,5700,9.7,921,10.39,3670,9.97,6030,11.1
"92",17300,6,34700,8.8,124204.17,5.63,9650,4.62,62.2,33,234,7.85,1210,6.38,6800,8.8,3380,7.31,2490,13.35,4350,8.08,194,10.44,5400,10.27,780,10.98,3630,8.8,5910,10.8
"93",16100,5.5,33200,8.3,120741.67,5.81,9629.17,4.63,62.2,33,223,8.72,1050,5.87,6460,8.3,3210,7.55,2490,13.55,4050,8.32,196,10.71,5130,9.7,669,10.39,3610,9.97,5870,10.8
"94",15200,6,31800,8.5,121562.5,5.92,6037.5,4.61,62.2,33,215,8.28,938,4.97,6030,8.2,3050,7.08,2490,13.14,3800,7.84,199,10.17,4650,8.61,605,9.26,3360,9.37,5830,10.9
"95",14400,5.5,31000,8.2,123058.33,6.11,6058.33,4.59,62.2,33,207,7.43,854,4.97,5640,8.2,2900,6.64,2490,12.73,3560,7.37,209,9.65,4390,8.61,568,9.26,3140,8.25,5820,11.1
"96",13800,6,30800,8.3,118737.5,6.13,6037.5,4.65,62.2,33,212,8.72,819,8.09,5360,8.2,2770,5.81,2490,11.91,3310,6.49,221,8.64,4150,12.07,571,12.82,3030,9.97,5860,11.1
"97",13100,6,28700,8.7,98125,6.24,6033.33,4.77,62.2,33,203,10.09,791,10.08,5100,8.4,2640,6.42,2490,12.52,3110,7.14,236,9.39,3950,13.95,576,14.73,2940,11.86,5740,11.5
"98",12300,6.5,28300,9.3,107745.83,6.32,6016.67,4.88,62.2,33,193,11.02,832,8.72,4870,8.4,2520,7.55,2490,13.55,2950,8.32,248,10.71,3660,12.69,514,13.45,3010,13.18,5660,11.8
"99",11900,7.5,28200,9.7,113495.83,6.49,6000,4.86,62.2,33,186,11.02,770,8.09,4620,8.8,2400,9.54,2490,15.19,2810,10.38,252,12.92,3320,12.07,478,12.82,2920,13.18,5470,11.8
"100",11600,8,28400,10,100204.17,6.74,6000,4.89,62.2,33,185,11.96,693,8.09,4450,9.1,2340,9.02,2490,14.78,2700,9.85,255,12.36,3080,12.07,461,12.82,2810,14.53,5190,11.8
"101",11400,8,25900,10.3,102216.67,6.72,6025,4.83,62.2,33,184,9.17,642,8.09,4330,9.4,2300,9.54,2490,15.19,2650,10.38,249,12.92,2690,12.07,436,12.82,2790,10.58,5010,11.4
